"","yearID","RUN"
"1",1871,93.1289662249719
"2",1872,95.2147380860532
"3",1873,73.1599838074796
"4",1874,58.5590317350244
"5",1875,70.0877390134559
"6",1876,47.0126711722679
"7",1877,33.9601375541737
"8",1878,31.0487136225899
"9",1879,42.1135169053654
"10",1880,37.4923894834018
"11",1881,40.7842985386926
"12",1882,74.454447839308
"13",1883,92.0444412169757
"14",1884,169.550310022945
"15",1885,83.416429906806
"16",1886,87.3217911122374
"17",1887,101.183181302957
"18",1888,77.8194336285689
"19",1889,95.246713617605
"20",1890,149.293213811956
"21",1891,97.2375519631505
"22",1892,61.1144544226751
"23",1893,78.8216101157229
"24",1894,88.4026510258667
"25",1895,79.0453579675104
"26",1896,72.4067879344587
"27",1897,70.5414250486997
"28",1898,59.462941997713
"29",1899,62.865135920872
"30",1900,41.7331809707626
"31",1901,79.8717430126161
"32",1902,70.9331960010341
"33",1903,70.9794701572059
"34",1904,59.6207693068005
"35",1905,62.3481493341588
"36",1906,57.8396472804151
"37",1907,56.4454957674391
"38",1908,54.1393112311714
"39",1909,56.7737747491277
"40",1910,61.4242163849154
"41",1911,72.210946729433
"42",1912,72.4715586041541
"43",1913,64.5783446023035
"44",1914,92.7805003697009
"45",1915,91.519842735895
"46",1916,57.022314831324
"47",1917,57.4070347132077
"48",1918,58.131537391241
"49",1919,61.9422632003674
"50",1920,69.7795067888047
"51",1921,77.6905294005239
"52",1922,77.9135998410192
"53",1923,77.0640875744316
"54",1924,76.1650085481971
"55",1925,82.0500795746526
"56",1926,74.1578384995439
"57",1927,75.9820965237963
"58",1928,75.6867887583083
"59",1929,82.9688338786602
"60",1930,88.7668997668998
"61",1931,76.966049805139
"62",1932,78.6104497079205
"63",1933,71.7613084882511
"64",1934,78.4635532676454
"65",1935,78.3738335024548
"66",1936,83.0336721421252
"67",1937,77.8963322821746
"68",1938,78.2572809440108
"69",1939,77.1777681060715
"70",1940,74.8355597158703
"71",1941,71.8072454940443
"72",1942,65.2862959906616
"73",1943,62.6442509092396
"74",1944,66.6505131041355
"75",1945,66.8664291976725
"76",1946,64.1042573582845
"77",1947,69.6616109088769
"78",1948,73.2438838201647
"79",1949,73.6938415738087
"80",1950,77.6163914697968
"81",1951,72.7353910281784
"82",1952,66.8406709275931
"83",1953,73.7250607458921
"84",1954,70.0252403510468
"85",1955,71.7745673681158
"86",1956,71.2413480909885
"87",1957,68.9032238581574
"88",1958,68.530724441066
"89",1959,70.1373809876173
"90",1960,69.0235748122845
"91",1961,81.4442802252927
"92",1962,89.1742280788532
"93",1963,78.9442205164175
"94",1964,80.7091491586354
"95",1965,79.7771256717339
"96",1966,79.870674837328
"97",1967,75.3634945688561
"98",1968,68.3503078402244
"99",1969,97.7376019848679
"100",1970,104.200056170182
"101",1971,93.3329062597188
"102",1972,88.4891922330252
"103",1973,101.133271988344
"104",1974,98.997962772436
"105",1975,101.109696859952
"106",1976,95.8802528455249
"107",1977,116.233954451346
"108",1978,106.677117302493
"109",1979,115.919470842231
"110",1980,111.497746897703
"111",1981,103.974337034466
"112",1982,111.727069605393
"113",1983,112.008445050367
"114",1984,110.667914265674
"115",1985,112.60301536024
"116",1986,114.621065205866
"117",1987,122.790813587915
"118",1988,107.581576036385
"119",1989,107.437392440023
"120",1990,110.663867801549
"121",1991,111.995425485009
"122",1992,107.043209876543
"123",1993,128.734454290692
"124",1994,137.889274039842
"125",1995,135.703174651019
"126",1996,140.993406589788
"127",1997,133.475922091864
"128",1998,143.686682586256
"129",1999,152.528260093344
"130",2000,154.208542383789
"131",2001,143.264128517752
"132",2002,138.538072233724
"133",2003,141.831718323005
"134",2004,144.401617974082
"135",2005,137.751344391426
"136",2006,145.731385629936
"137",2007,143.902332803151
"138",2008,139.520401913173
"139",2009,138.381302856541
"140",2010,131.530864197531
"141",2011,128.493060348133
"142",2012,129.734567901235
"143",2013,124.976709838673
"144",2014,121.981481481481
"145",2015,127.502683843264
